mode,sample_id,input,expected_ans,extracted_choices,extracted_answer_index
mode_unspecified,college_chemistry_9,"Question: Which of the following statements most accurately explains why the T1 of a nucleus is sometimes longer than its T2?
A. T1, unlike T2, is sensitive to very low-frequency molecular motions.
B. T2, unlike T1, is sensitive to very low-frequency molecular motions.
C. T1, unlike T2, is sensitive to molecular motions at the Larmor frequency.
D. T2, unlike T1, is sensitive to molecular motions at the Larmor frequency.
Answer:","T2, unlike T1, is sensitive to molecular motions at the Larmor frequency.","T1, unlike T2, is sensitive to very low-frequency molecular motions. | T2, unlike T1, is sensitive to very low-frequency molecular motions. | T1, unlike T2, is sensitive to molecular motions at the Larmor frequency. | T2, unlike T1, is sensitive to molecular motions at the Larmor frequency.",3
mode_unspecified,college_chemistry_50,"Question: What is the orbital angular momentum quantum number, l, of the electron that is most easily removed when ground-state aluminum is ionized?
A. 3
B. 2
C. 1
D. 0
Answer:",1,3 | 2 | 1 | 0,2
mode_unspecified,college_chemistry_65,"Question: When the Heisenberg uncertainty principle is applied to a quantum mechanical particle in the lowest energy level of a one-dimensional box, which of the following is true?
A. Momentum is known exactly, but no information about position can be known.
B. Position is known exactly, but no information about momentum can be known.
C. No information about either position or momentum can be known.
D. Neither position nor momentum can be known exactly.
Answer:",Neither position nor momentum can be known exactly.,"Momentum is known exactly, but no information about position can be known. | Position is known exactly, but no information about momentum can be known. | No information about either position or momentum can be known. | Neither position nor momentum can be known exactly.",3
mode_unspecified,college_chemistry_70,"Question: The +1 oxidation state is more stable than the +3 oxidation state for which group 13 element?
A. B
B. Al
C. In
D. Tl
Answer:",Tl,B | Al | In | Tl,3
mode_unspecified,college_chemistry_1,"Question: Infrared (IR) spectroscopy is useful for determining certain aspects of the structure of organic molecules because
A. all molecular bonds absorb IR radiation
B. IR peak intensities are related to molecular mass
C. most organic functional groups absorb in a characteristic region of the IR spectrum
D. each element absorbs at a characteristic wavelength
Answer:",most organic functional groups absorb in a characteristic region of the IR spectrum,all molecular bonds absorb IR radiation | IR peak intensities are related to molecular mass | most organic functional groups absorb in a characteristic region of the IR spectrum | each element absorbs at a characteristic wavelength,2
mode_unspecified,college_chemistry_41,"Question: Predict the hyperfine value for the EPR spectrum of fully deuteriated benzene radical anion C6D6•-.
A. 0.375 mT
B. 3.75 G
C. 2.35 mT
D. 0.58 G
Answer:",0.58 G,0.375 mT | 3.75 G | 2.35 mT | 0.58 G,3
mode_unspecified,college_chemistry_78,"Question: A buffer is made from equal concentrations of a weak acid and its conjugate base. Doubling the volume of the buffer solution by adding water has what effect on its pH?
A. It has little effect.
B. It significantly increases the pH.
C. It significantly decreases the pH.
D. It changes the pH asymptotically to the pKa of the acid.
Answer:",It has little effect.,It has little effect. | It significantly increases the pH. | It significantly decreases the pH. | It changes the pH asymptotically to the pKa of the acid.,0
mode_unspecified,college_chemistry_73,"Question: A substance that is NOT generally considered to be a toxic pollutant in water is
A. carbonic acid
B. a halogenated hydrocarbon
C. lead
D. mercury
Answer:",carbonic acid,carbonic acid | a halogenated hydrocarbon | lead | mercury,0
mode_unspecified,college_chemistry_55,"Question: In fluorescence spectroscopy, the quantum yield (Φ_f) is best defined as the
A. rate of fluorescence emission
B. number of photons emitted
C. number of photons emitted, divided by the number of photons absorbed
D. number of excitation photons impinging on the sample, divided by the number of photons absorbed
Answer:","number of photons emitted, divided by the number of photons absorbed","rate of fluorescence emission | number of photons emitted | number of photons emitted, divided by the number of photons absorbed | number of excitation photons impinging on the sample, divided by the number of photons absorbed",2
mode_unspecified,college_chemistry_10,"Question: The 1H Larmor frequency of benzene exceeds that of trifluoroacetic acid by 1.656 kHz on a 400 MHz spectrometer. The 1H chemical shift of benzene is 7.16 ppm. What is the chemical shift of trifluoroacetic acid?
A. 3.02 ppm
B. 5.03 ppm
C. 10.56 ppm
D. 11.30 ppm
Answer:",11.30 ppm,3.02 ppm | 5.03 ppm | 10.56 ppm | 11.30 ppm,3
mode_unspecified,college_chemistry_56,"Question: Which one of the following statements is true:
A. Large and positive g shifts are observed when the LUMO – HOMO gap is small and λ is positive.
B. Large deviations in g occurs when the energy difference between the SOMO and lowest lying excited state is large.
C. A large deviation of g from ge is expected when λ is large and the energy difference between the SOMO and the lowest lying excited state is small.
D. A small deviation of g from ge is expected when λ is small and positive.
Answer:",A large deviation of g from ge is expected when λ is large and the energy difference between the SOMO and the lowest lying excited state is small.,Large and positive g shifts are observed when the LUMO – HOMO gap is small and λ is positive. | Large deviations in g occurs when the energy difference between the SOMO and lowest lying excited state is large. | A large deviation of g from ge is expected when λ is large and the energy difference between the SOMO and the lowest lying excited state is small. | A small deviation of g from ge is expected when λ is small and positive.,2
mode_unspecified,college_chemistry_48,"Question: Which of the following experimental observations were explained by Planck’s quantum theory?
A. Blackbody radiation curves
B. Emission spectra of diatomic molecules
C. Electron diffraction patterns
D. Temperature dependence of reaction rates
Answer:",Blackbody radiation curves,Blackbody radiation curves | Emission spectra of diatomic molecules | Electron diffraction patterns | Temperature dependence of reaction rates,0
mode_unspecified,college_chemistry_15,"Question: Calculate the magnetic moment (μI) of a 13C nucleus.
A. 6.1445 x 10^-27 J T-1
B. 3.1445 x 10^-27 J T-1
C. 9.1445 x 10^-27 J T-1
D. 1.1445 x 10^-28 J T-1
Answer:",9.1445 x 10^-27 J T-1,6.1445 x 10^-27 J T-1 | 3.1445 x 10^-27 J T-1 | 9.1445 x 10^-27 J T-1 | 1.1445 x 10^-28 J T-1,2
mode_unspecified,college_chemistry_76,"Question: Chlorofluorocarbons (CFCs) such as F3CCCl3 are implicated in the decomposition of stratospheric ozone. Which of the following methods would be best suited to measurement of trace amounts (sub-ppb) of CFCs in an air sample?
A. Gas chromatographic separation of the air sample on a capillary column followed by electron capture detection
B. Gas chromatographic separation of the air sample on a packed column followed by thermal conductivity detection
C. Gas chromatographic separation of the air sample on a capillary column followed by flame ionization detection
D. Conversion of the sample of the chlorinated compounds to chloride ions, followed by titration with Ag+
Answer:",Gas chromatographic separation of the air sample on a capillary column followed by electron capture detection,"Gas chromatographic separation of the air sample on a capillary column followed by electron capture detection | Gas chromatographic separation of the air sample on a packed column followed by thermal conductivity detection | Gas chromatographic separation of the air sample on a capillary column followed by flame ionization detection | Conversion of the sample of the chlorinated compounds to chloride ions, followed by titration with Ag+",0
mode_unspecified,college_chemistry_37,"Question: The T2 of an NMR line is 15 ms. Ignoring other sources of linebroadening, calculate its linewidth.
A. 0.0471 Hz
B. 21.2 Hz
C. 42.4 Hz
D. 66.7 Hz
Answer:",21.2 Hz,0.0471 Hz | 21.2 Hz | 42.4 Hz | 66.7 Hz,1
mode_unspecified,college_chemistry_30,"Question: A student performs five titrations and obtains a mean result of 0.110 M, with a standard deviation of 0.001 M. If the actual concentration of the titrated solution is 0.100 M, which of the following is true about the titration results?
A. Accurate but not precise
B. Precise but not accurate
C. Both accurate and precise
D. Neither accurate nor precise
Answer:",Precise but not accurate,Accurate but not precise | Precise but not accurate | Both accurate and precise | Neither accurate nor precise,1
mode_unspecified,college_chemistry_72,"Question: The number of allowed energy levels for the 55Mn nuclide are:
A. 3
B. 5
C. 8
D. 4
Answer:",3,3 | 5 | 8 | 4,0
mode_unspecified,college_chemistry_21,"Question: Which of the following statements most accurately explains why the 1H spectrum of 12CHCl3 is a singlet?
A. Both 35Cl and 37Cl have I = 0.
B. The hydrogen atom undergoes rapid intermolecular exchange.
C. The molecule is not rigid.
D. Both 35Cl and 37Cl have electric quadrupole moments.
Answer:",Both 35Cl and 37Cl have electric quadrupole moments.,Both 35Cl and 37Cl have I = 0. | The hydrogen atom undergoes rapid intermolecular exchange. | The molecule is not rigid. | Both 35Cl and 37Cl have electric quadrupole moments.,3
mode_unspecified,college_chemistry_92,"Question: Nitronyl nitroxides are stable radicals in which the unpaired electron is coupled to two equivalent nitrogen nuclei. How many lines will appear in the EPR spectrum of a solution of a rigid nitronyl nitroxide diradical with J >> a?
A. 3 lines
B. 9 lines
C. 5 lines
D. 7 lines
Answer:",7 lines,3 lines | 9 lines | 5 lines | 7 lines,3
mode_unspecified,college_chemistry_32,"Question: On the basis of oxidation-reduction potential, which of the following is most likely to occur?
A. Al(s) + 3 NaNO3(aq) 3 Na(s) + Al(NO3)3(aq)
B. Zn(s) + 2 Ag(NO3)(aq) → 2 Ag(s) + Zn(NO3)2(aq)
C. Pb(s) + Ca(NO3)2(aq) → Ca(s) + Pb(NO3)2(aq)
D. Pb(s) + 2 LiNO3(aq) → 2 Li(s) + Pb(NO3)2(aq)
Answer:",Zn(s) + 2 Ag(NO3)(aq) → 2 Ag(s) + Zn(NO3)2(aq),Al(s) + 3 NaNO3(aq) 3 Na(s) + Al(NO3)3(aq) | Zn(s) + 2 Ag(NO3)(aq) → 2 Ag(s) + Zn(NO3)2(aq) | Pb(s) + Ca(NO3)2(aq) → Ca(s) + Pb(NO3)2(aq) | Pb(s) + 2 LiNO3(aq) → 2 Li(s) + Pb(NO3)2(aq),1
mode_unspecified,college_chemistry_80,"Question: Which of the following metal ions cannot be used as a paramagnetic quencher?
A. Ti3+
B. Cr3+
C. Fe3+
D. Zn2+
Answer:",Cr3+,Ti3+ | Cr3+ | Fe3+ | Zn2+,1
mode_unspecified,college_chemistry_49,"Question: A radioactive isotope, which is used in diagnostic imaging, has a half-life of 6.0 hours. If a quantity of this isotope has an activity of 150 mCi when it is delivered to a hospital, how much activity will remain 24 hours after delivery? (mCi = microcuries)
A. 150 mCi
B. 38 mCi
C. 19 mCi
D. 9.4 mCi
Answer:",9.4 mCi,150 mCi | 38 mCi | 19 mCi | 9.4 mCi,3
mode_unspecified,college_chemistry_45,"Question: The 13C chemical shifts of benzene and chloroform are 128.4 ppm and 77.2 ppm respectively. What is the difference in the 13C NMR frequencies of the two compounds on a 600 MHz spectrometer?
A. 7.73 kHz
B. 30.7 kHz
C. 91.6 kHz
D. 122 kHz
Answer:",7.73 kHz,7.73 kHz | 30.7 kHz | 91.6 kHz | 122 kHz,0
mode_unspecified,college_chemistry_96,"Question: Of the following ions, which has the smallest radius?
A. K+
B. Ca2+
C. Sc3+
D. Rb+
Answer:",Sc3+,K+ | Ca2+ | Sc3+ | Rb+,2
mode_unspecified,college_chemistry_83,"Question: The molecular geometry of thionyl chloride, SOCl2, is best described as
A. trigonal planar
B. T-shaped
C. tetrahedral
D. trigonal pyramidal
Answer:",trigonal pyramidal,trigonal planar | T-shaped | tetrahedral | trigonal pyramidal,3
mode_unspecified,college_chemistry_87,"Question: Which of the following is a primary standard for use in standardizing bases?
A. Ammonium hydroxide
B. Sulfuric acid
C. Acetic acid
D. Potassium hydrogen phthalate
Answer:",Potassium hydrogen phthalate,Ammonium hydroxide | Sulfuric acid | Acetic acid | Potassium hydrogen phthalate,3
mode_unspecified,college_chemistry_8,"Question: The 1H spectrum of a mixture of dimethylsulphoxide (DMSO) and acetonitrile (AN) contains lines with relative intensities α and 3α, respectively. What is the ratio of the two concentrations, [DMSO]:[AN]?
A. 1:1
B. 1:3
C. 1:6
D. 2:3
Answer:",1:6,1:1 | 1:3 | 1:6 | 2:3,2
mode_unspecified,college_chemistry_26,"Question: Which of the following must be true about a binary liquid mixture that obeys Raoult’s law?
I. The partial pressure of each component at equilibrium is proportional to its mole fraction in the liquid mixture.
II. The volume of the mixture is equal to the sum of the volumes of each component before mixing.
III. Intermolecular interactions in the mixture are identical to intermolecular interactions in the pure components.
A. I only
B. III only
C. I and III only
D. I, II, and III
Answer:","I, II, and III","I only | III only | I and III only | I, II, and III",3
mode_unspecified,college_chemistry_33,"Question: Which of the following statements is not a reason why tetramethylsilane is used as a 1H chemical shift reference.
A. Its 1H spectrum is a singlet.
B. Its protons are quite strongly shielded.
C. It dissolves in most organic solvents.
D. Most organic compounds do not contain silicon atoms.
Answer:",Most organic compounds do not contain silicon atoms.,Its 1H spectrum is a singlet. | Its protons are quite strongly shielded. | It dissolves in most organic solvents. | Most organic compounds do not contain silicon atoms.,3
mode_unspecified,college_chemistry_59,"Question: Of the following ionic substances, which has the greatest lattice enthalpy?
A. MgO
B. MgS
C. NaF
D. NaCl
Answer:",MgO,MgO | MgS | NaF | NaCl,0
mode_unspecified,college_chemistry_74,"Question: All proteins absorb electromagnetic radiation of wavelength around 190 nm, which corresponds to a π → π* excitation in the protein molecule. In which region of the spectrum is this wavelength found?
A. X-ray
B. Ultraviolet
C. Visible
D. Infrared
Answer:",Ultraviolet,X-ray | Ultraviolet | Visible | Infrared,1
mode_unspecified,college_chemistry_63,"Question: Which of the following is (are) characteristic of mass spectrometry?
I. Analyte molecules are converted to gaseous ions.
II. The ions are separated according to their mass-to-charge ratio.
III. In addition to compound identification, mass spectra can be utilized to determine precise isotopic masses and isotopic ratios.
A. II only
B. I and II only
C. I and III only
D. I, II, and III
Answer:","I, II, and III","II only | I and II only | I and III only | I, II, and III",3
mode_unspecified,college_chemistry_44,"Question: Calculate the Q-factor for an X-band EPR cavity with a resonator bandwidth of 1.58 MHz.
A. Q = 1012
B. Q = 2012
C. Q = 3012
D. Q = 6012
Answer:",Q = 6012,Q = 1012 | Q = 2012 | Q = 3012 | Q = 6012,3
mode_unspecified,college_chemistry_98,"Question: Predict the number of lines in the EPR spectrum of a solution of dimethylnitroxide (CH3)2NO• assuming the lines do not overlap.
A. 21
B. 3
C. 7
D. 24
Answer:",3,21 | 3 | 7 | 24,1
